"","Name","ipcc_code_2006_for_standard_report_name","Substance"," 1970"," 1971"," 1972"," 1973"," 1974"," 1975"," 1976"," 1977"," 1978"," 1979"," 1980"," 1981"," 1982"," 1983"," 1984"," 1985"," 1986"," 1987"," 1988"," 1989"," 1990"," 1991"," 1992"," 1993"," 1994"," 1995"," 1996"," 1997"," 1998"," 1999"," 2000"," 2001"," 2002"," 2003"," 2004"," 2005"," 2006"," 2007"," 2008"," 2009"," 2010"," 2011"," 2012"," 2013"," 2014"," 2015"," 2016"," 2017"," 2018"," 2019"," 2020"," 2021"
"11","Canada","Civil Aviation","CH4",0.0418065,0.042988,0.0453521,0.051396001,0.056167802,0.058085601,0.057193601,0.057283201,0.061587801,0.0724874,0.0737624,0.074765201,0.057546802,0.0645116,0.066131201,0.070939402,0.070990301,0.0745972,0.0773163,0.076398499,0.072832099,0.0647919,0.0659755,0.063856399,0.068112301,0.073729701,0.081305701,0.084426001,0.087591499,0.091688,0.092644801,0.081740799,0.089385302,0.092778201,0.099979099,0.103565099,0.103052001,0.111239801,0.103398299,0.0851935,0.0802163,0.0847879,0.1014684,0.1124413,0.1098316,0.112508299,0.121027101,0.1318646,0.141698101,0.145178,0.071510429,0.08866821
"12","Canada","Road Transportation no resuspension","CH4",28.08517633,29.10113585,31.19576536,33.92343862,35.25233717,36.65803636,38.14137602,38.67216448,39.89717787,41.43695924,41.73428272,40.34216531,36.63237549,35.66128085,35.6480524,35.58857265,35.94051942,37.02286307,38.13512715,38.77415505,38.06233108,36.90695319,37.4773611,38.11651964,38.95153626,38.70185853,38.3080042,38.50391974,38.11976167,38.37134137,37.49539634,37.04259987,37.77158418,37.44055963,36.93923932,34.39814628,32.7926875,32.3149315,30.59855073,29.63711663,28.33493606,25.05761618,23.3399041,22.60438538,21.37059285,21.17866772,21.05647315,20.18213059,20.48638511,20.20800846,17.69957464,17.94607763
"13","Canada","Railways","CH4",0.339523481,0.358974727,0.376517751,0.38640945,0.409093786,0.378863986,0.336206644,0.339083222,0.35075136,0.366308888,0.370375055,0.358883692,0.329992228,0.31166582,0.340851115,0.336077795,0.296300044,0.300012624,0.335193848,0.358883692,0.351635306,0.325647173,0.340674323,0.339436807,0.351104945,0.318045218,0.310973608,0.315216568,0.300896589,0.31857558,0.326531137,0.320873852,0.291173137,0.290112398,0.295062511,0.33466347,0.350397774,0.375325168,0.397777497,0.257229446,0.332188404,0.380275299,0.383457518,0.369314315,0.37868418,0.360651603,0.331304457,0.379214541,0.387346892,0.390175525,0.341607721,0.34630982
"14","Canada","Water-borne Navigation","CH4",0.441269058,0.442029298,0.484659167,0.509274854,0.476089125,0.369462743,0.376097544,0.379591801,0.455519411,0.44086139,0.543379199,0.675229813,0.488040003,0.406849803,0.403493995,0.374530788,0.38371201,0.406118989,0.481983617,0.5065326,0.428937622,0.445981223,0.433469398,0.380255413,0.395929791,0.371053207,0.379545583,0.38414459,0.438753001,0.422935807,0.434905822,0.470097597,0.468228592,0.526495179,0.566915986,0.565941597,0.522501021,0.556592413,0.539935204,0.564883181,0.586080607,0.489455413,0.487703991,0.445414208,0.410436585,0.400692599,0.397765209,0.320228993,0.335311212,0.371532006,0.325284888,0.329762308
"15","Canada","Other Transportation","CH4",0,0,0,0,0,0,0,0,0.005265001,0.084312003,0.071739905,0.075901505,0.068721298,0.0554976,0.0687078,0.084274201,0.071710204,0.085512602,0.110503799,0.1172061,0.121444201,0.134624703,0.174016797,0.182746803,0.193997702,0.2135727,0.223826399,0.221988599,0.222101103,0.223339504,0.199365301,0.181324794,0.192150904,0.161976599,0.152048704,0.188664602,0.179790294,0.169073422,0.152148295,0.135794395,0.139629901,0.1352097,0.126643511,0.144614685,0.168480902,0.168793492,0.170121897,0.147060609,0.16260842,0.168370207,0.16093521,0.168709277
"16","Canada","Residential and other sectors","CH4",20.36653458,15.21268502,14.15725026,11.56993695,11.32987994,10.30523089,9.124247623,9.181055203,7.96775122,8.024473609,7.444779219,7.472731542,8.292149401,7.879410124,7.805519894,7.870118256,7.611660429,7.059301107,7.217140915,7.462717092,5.789908004,5.919892767,6.044508272,6.275928038,6.358052416,6.601907123,6.981833208,6.757633393,6.150511013,6.410884712,6.88051676,6.502928653,7.171779482,7.585902321,7.404220566,7.796083525,7.78540704,7.635076067,7.632864253,7.245298222,7.185753987,7.630931839,7.161349267,7.508666619,7.891738074,7.5217925,7.340674279,7.773747026,8.277476493,8.381085493,7.910332616,8.248562212
"17","Canada","Non-Specified","CH4",0.241703001,0.284509493,0.296097991,0.282853991,0.35829751,0.333464992,0.218053003,0.30934199,0.276941497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Canada","Solid Fuels","CH4",50.9135906,51.84500546,54.05073155,53.645364,50.57690848,57.79097169,61.03471171,63.34533685,76.34334619,71.36912969,74.11346569,74.5647437,91.80916849,79.46976747,94.74498305,86.12248285,91.05957161,90.89446273,109.663627,116.9133806,111.9911681,137.867087,126.83387,124.0191574,122.6669645,118.4558992,121.540463,125.550354,106.3994146,102.871901,96.73689588,97.7548204,89.15831259,82.54904217,88.77854884,96.43377232,96.40380305,104.8316112,94.20517131,84.39497204,95.38542242,96.21824338,96.73065611,102.2630537,95.87143535,85.15106044,80.34955369,86.96924791,86.30722628,87.51152234,74.54620708,88.04947098
"19","Canada","Oil and Natural Gas","CH4",976.5560943,995.3897995,1132.74835,1288.76012,1234.733258,1188.9356,1113.3621,1122.503313,1104.89511,1212.471522,1164.905293,1136.429418,1076.35697,1077.519082,1146.166007,1193.9467,1211.405623,1250.102686,1319.138588,1365.070283,1364.904877,1384.481785,1454.068763,1590.972966,1686.417544,1765.344864,1866.16638,1950.80145,2068.299649,2046.714417,2071.914461,2148.672831,2169.382693,2165.700698,2154.618775,2125.033935,2113.334361,2129.921811,2117.788463,2093.960536,2017.951206,2030.764454,2113.860927,2209.505506,2284.967363,2402.696,2396.68277,2311.879555,2437.093634,2353.337659,2410.421699,2408.754075
"20","Canada","Chemical Industry","CH4",4.22170416,4.07365388,4.84357294,5.22790114,5.13306713,4.05714364,4.9372517,5.06427928,5.30671757,5.95538228,2.24630327,2.62173167,4.97944604,5.24847392,5.9410894,5.29318872,4.93666297,5.49826559,6.78109278,6.62839248,6.27626904,6.1747428,6.23900808,6.6651465,7.80292511,7.32531775,6.84718024,7.089058406,5.503025229,6.046904738,6.035551405,5.004066397,5.547255309,5.116139787,5.9384599,5.866734858,4.95204851,4.15420328,3.220619827,3.194876642,3.401395602,4.145758719,4.525291758,4.646271674,4.900427196,4.660050436,4.949650658,5.057870164,5.090374386,5.169543032,4.991963793,5.252193256
"21","Canada","Metal Industry","CH4",2.513076045,2.348918172,2.537567728,2.463375849,2.172568867,2.141936529,2.005095449,1.786977638,1.665926087,1.830821141,1.501196887,1.404584438,0.99329199,0.929007018,1.18116103,1.12098058,1.010285886,1.085957398,1.044212886,1.159924443,0.94982763,0.85805246,0.732260075,0.726172109,0.676115603,0.708866763,0.72220465,0.725959348,0.73990837,0.752945485,0.76829535,0.71422001,0.757366698,0.746431508,0.754110007,0.706450003,0.711490006,0.721620004,0.716900009,0.359496448,0.489245403,0.446359101,0.466853762,0.4393061,0.426479693,0.460688061,0.424426046,0.464298153,0.510772635,0.492560224,0.419452872,0.505344089
"22","Canada","Enteric Fermentation","CH4",661.2223,668.356555,681.315094,696.2661,720.43302,752.7584,747.2321,722.67514,689.19138,666.66726,684.1935,687.32906,689.65612,670.7701,661.805268,645.60995,630.742652,622.251426,636.333534,651.599664,667.18608,673.723582,706.54283,710.57255,725.52574,770.92475,816.31945,827.28458,834.668148,835.651586,844.66947,870.630602,876.459902,860.55339,920.820844,938.11186,925.252104,895.6511,873.545074,835.761556,818.3969,809.719976,833.905368,852.81494,858.820782,849.507224,848.012591,843.60611,847.594868,843.9806615,836.6154284,832.5236356
"23","Canada","Manure Management","CH4",234.4460565,231.1432408,227.187594,220.94839,215.826616,203.0892115,199.9327445,203.3133885,206.4217775,221.368443,236.3644915,237.7031385,234.9953765,232.0515525,233.7782045,234.1529925,224.783171,222.579841,229.983446,231.108161,225.482499,221.460332,223.209886,224.2203395,227.511041,238.796217,244.254775,241.527877,245.41586,253.54793,257.20527,264.613372,273.591624,276.440847,276.8092355,277.476084,279.412062,268.2359205,252.2421425,248.029824,247.696847,248.685121,250.560468,250.578261,251.467053,254.3408504,259.847672,263.2355422,267.3175225,270.2102274,271.0471937,272.0678475
"24","Canada","Solid Waste Disposal","CH4",434.636995,441.5400021,448.4429971,455.3450044,462.2479985,469.151006,474.7480057,480.345998,485.9399988,491.5369933,497.1339936,502.569246,508.0127638,513.3945779,518.7827966,524.1888248,531.5457723,538.8447505,546.1828227,553.5139224,560.8638808,557.9699444,549.9631453,540.3294942,541.2283634,551.6578436,541.3528557,523.6544808,536.5389742,545.7615526,559.8367156,539.5527707,566.0179359,551.2215884,573.3677064,560.3953717,600.2067673,589.9960159,545.4246348,506.7673271,495.0891746,491.4004418,476.9901657,475.5145023,524.2611049,527.5522285,532.5441037,537.4499947,542.2868859,546.0271079,549.7931267,554.2412534
"25","Canada","Biological Treatment of Solid Waste","CH4",1.284341604,1.284341604,1.284341604,1.284341604,1.284341604,1.284341604,1.284341604,1.284341604,1.284341604,1.284341604,1.284341604,1.284341604,1.284341604,1.284341604,1.284341604,1.284341604,1.284341604,1.284341604,1.284341604,1.284341604,1.284341604,1.322889443,1.417289283,1.511689123,1.632691609,1.919417674,2.30752374,2.692681805,3.14638787,3.614271935,4.085232,4.633685955,5.19900791,5.642348416,6.085572921,6.842010261,7.598047601,8.455057302,9.312183003,9.0593328,8.805848958,9.311746503,9.813125085,10.27883327,10.74441532,10.56284044,10.38064907,10.37864748,10.38011548,10.40037192,10.42066789,10.39223338
"26","Canada","Incineration and Open Burning of Waste","CH4",13.97250241,13.34963443,12.73903945,12.14067929,11.55410607,10.97889176,11.27708079,11.56985855,11.85684997,12.1380868,12.41359846,12.07202493,11.7371243,11.4101532,11.09157671,10.78222706,10.77755475,10.77608599,10.77695382,10.77927868,10.78220795,10.76273153,10.8705548,10.96406616,11.10408334,11.05289964,9.97344137,10.10025132,9.384690831,9.162046071,8.837322102,9.023069381,8.006253221,7.9469445,7.906592712,7.861900396,7.88687619,7.91210758,7.9456777,7.972425273,8.004731392,8.034640249,8.040706184,8.110406859,8.087571714,8.110886531,8.127616474,8.143620076,8.158194401,8.165210873,8.172928811,8.185337267
"27","Canada","Wastewater Treatment and Discharge","CH4",158.6098535,158.5367494,162.8882601,167.9573625,172.0981422,148.3312198,161.9844297,163.8006632,166.7833206,170.5731755,174.6227327,173.4838405,161.5989435,173.0262462,181.2260581,180.9152106,184.8939287,191.4866128,195.6624581,197.4825695,192.4556786,194.8648059,193.45773,196.4338813,208.7361755,214.6273094,211.8124645,212.1053879,210.7144939,220.7191749,228.7560819,221.6071793,228.5171086,231.2680985,238.5305842,234.2995239,224.2817489,219.5109905,208.0253176,191.4489702,200.6175055,199.5893699,198.3927253,200.237304,198.7817623,199.2784262,201.2474826,201.6928503,203.1125005,203.0433691,202.9824674,203.7232756
